phrase,frequency,seed_word,Volume,source_type,word_count,phrase_length,has_question_word,has_best_or_top,is_question_like,query_type,cluster_id_A,cluster_size,is_noise
989 area code,1,code,40500,keyword_tool,3,13,False,False,False,normal,42,502,False
99203 cpt code,1,code,5400,keyword_tool,3,14,False,False,False,normal,-1,3786,True
99204 cpt code,1,code,8100,keyword_tool,3,14,False,False,False,normal,-1,3786,True
99213 cpt code,1,code,12100,keyword_tool,3,14,False,False,False,normal,-1,3786,True
9movies top,1,top,5400,keyword_tool,2,11,False,True,False,best_list,-1,3786,True
9th generation ipad,1,generator,18100,keyword_tool,3,19,False,False,False,normal,-1,3786,True
aarp tax help,1,helper,8100,keyword_tool,3,13,False,False,False,normal,-1,3786,True
abercrombie & fitch coupons and promo codes,1,code,12100,keyword_tool,7,43,False,False,False,normal,39,306,False
abercrombie and fitch discount code,1,code,5400,keyword_tool,5,35,False,False,False,normal,39,306,False
abercrombie discount code,1,code,18100,keyword_tool,3,25,False,False,False,normal,39,306,False
above ground pool deck ideas,1,ideas,6600,keyword_tool,5,28,False,False,False,normal,45,26,False
absolute value calculator,1,calculator,6600,keyword_tool,3,25,False,False,False,normal,-1,3786,True
abstract example,1,example,5400,keyword_tool,2,16,False,False,False,normal,-1,3786,True
abv calculator,1,calculator,18100,keyword_tool,2,14,False,False,False,normal,24,15,False
academic advisor jobs,1,advisor,5400,keyword_tool,3,21,False,False,False,normal,-1,3786,True
academy promo code,1,code,9900,keyword_tool,3,18,False,False,False,normal,39,306,False
acc reader book finder,1,finder,8100,keyword_tool,4,22,False,False,False,normal,6,13,False
accelerated reader book finder,1,finder,5400,keyword_tool,4,30,False,False,False,normal,6,13,False
accu chek test strips,1,tester,8100,keyword_tool,4,21,False,False,False,normal,12,13,False
aces assessment test,1,tester,12100,keyword_tool,3,20,False,False,False,normal,6,13,False
aces test,1,tester,12100,keyword_tool,2,9,False,False,False,normal,6,13,False
acft calculator,1,calculator,22200,keyword_tool,2,15,False,False,False,normal,-1,3786,True
acoustic sound panels,1,sound,6600,keyword_tool,3,21,False,False,False,normal,-1,3786,True
acrylic designs for nails,1,designer,8100,keyword_tool,4,25,False,False,False,normal,61,48,False
acrylic nail designs,1,designer,12100,keyword_tool,3,20,False,False,False,normal,61,48,False
acrylic nail ideas,1,ideas,8100,keyword_tool,3,18,False,False,False,normal,61,48,False
acs citation generator,1,generator,12100,keyword_tool,3,22,False,False,False,normal,-1,3786,True
act calculator,1,calculator,5400,keyword_tool,2,14,False,False,False,normal,24,15,False
act score calculator,1,calculator,9900,keyword_tool,3,20,False,False,False,normal,24,15,False
act test dates 2025,1,tester,18100,keyword_tool,4,19,False,False,False,normal,-1,3786,True
action bronson new balance,1,action,5400,keyword_tool,4,26,False,False,False,normal,-1,3786,True
action figures invincible,1,figure,8100,keyword_tool,3,25,False,False,False,normal,-1,3786,True
action film action,1,action,27100,keyword_tool,3,18,False,False,False,normal,-1,3786,True
action gypsum supply,1,action,5400,keyword_tool,3,20,False,False,False,normal,-1,3786,True
action movies 2025,1,action,5400,keyword_tool,3,18,False,False,False,normal,-1,3786,True
action newsletter,1,action,6600,keyword_tool,2,17,False,False,False,normal,-1,3786,True
active directory,1,directory,18100,keyword_tool,2,16,False,False,False,normal,-1,3786,True
